Abbreviation,Name,Reaction,GPR,Genes,Protein,Subsystem,Reversible,Lower bound,Upper bound,Objective,Confidence score,E.C. number,Notes,References
rxn02341,N-[(R)-4'-Phosphopantothenoyl]-L-cysteine carboxy-lyase,[c] : h + 4ppcys => co2 + pan4p,,A1427,,,0,,,0,2,4.1.1.36,http://www.ncbi.nlm.nih.gov/pubmed/13630913,
rxn02359,trans-4-Hydroxy-L-proline:NAD+ oxidoreductase,[c] : fad + 4hpro-LT => fadh2 + 1p3h5c,,,,,0,,,0,2,1.5.1.12|1.5.99.8|1.5.-.-,,
rxn02380,beta-D-Glucose 6-phosphate ketol-isomerase,[c] : g6p-B <=> f6p,,A0964,,,1,,,0,2,5.3.1.9,http://www.ncbi.nlm.nih.gov/pubmed/13685918,
rxn02400,Nicotinate D-ribonucleotide phosphohydrolase,[c] : h2o + nicrnt => pi + h + Nicotinate D-ribonucleoside,,A0492,,,0,,,0,2,3.1.3.5,http://www.ncbi.nlm.nih.gov/pubmed/16746659,
rxn02402,Nicotinate-nucleotide:pyrophosphate phosphoribosyltransferase,[c] : 2 h + prpp + quln => co2 + ppi + nicrnt,,A0366,,,0,,,0,2,2.4.2.19,http://www.ncbi.nlm.nih.gov/pubmed/14165928,
rxn02465,N-Acetyl-L-glutamate-5-semialdehyde:NADP+ 5-oxidoreductase,[c] : nadph + acg5p => nadp + pi + acg5sa,,A2102,,,0,,,0,2,1.2.1.38,http://www.ncbi.nlm.nih.gov/pubmed/13863980,
rxn02473,D-erythro-1-(Imidazol-4-yl)glycerol 3-phosphate hydro-lyase,[c] : eig3p => h2o + imacp,,A1985,,,0,,,0,2,4.2.1.19,http://www.ncbi.nlm.nih.gov/pubmed/13475302,
rxn02474,5-amino-6-(5-phosphoribitylamino)uracil:NADP+ 1'-oxidoreductase,[c] : nadph + h + 5apru => nadp + 5aprbu,,A0498,,,0,,,0,2,1.1.1.193,http://www.ncbi.nlm.nih.gov/pubmed/30756,
rxn02475,"2,5-Diamino-6-hydroxy-4-(5-phosphoribosylamino)-pyrimidine",[c] : h2o + h + 25drapp => nh4 + 5apru,,A1465,,,0,,,0,2,3.5.4.26,http://www.ncbi.nlm.nih.gov/pubmed/30756,
rxn02476,Phosphoenolpyruvate:3-phosphoshikimate,[c] : pep + skm5p <=> pi + h + 3psme,,A0169,,,1,,,0,2,2.5.1.19,http://www.ncbi.nlm.nih.gov/pubmed/4289188,
rxn02484,ATP:4-amino-5-hydroxymethyl-2-methylpyrimidine 5-phosphotransferase,[c] : atp + 4ahmmp => adp + 4ampm,,A0025,,,0,,,0,2,2.7.1.49,,
rxn02503,"ATP:2-amino-4-hydroxy-6-hydroxymethyl-7,8-dihydropteridine",[c] : atp + 6hmhpt => amp + 6hmhptpp,,A2561,,,0,,,0,2,2.7.6.3,http://www.ncbi.nlm.nih.gov/pubmed/4304228,
rxn02504,"2-Amino-4-hydroxy-6-(D-erythro-1,2,3-trihydroxypropyl)-7,8-",[c] : dhnpt => gcald + 6hmhpt,,does not have this gene,,,0,,,0,2,4.1.2.25,http://www.ncbi.nlm.nih.gov/pubmed/4912541,
rxn02507,1-(2-Carboxyphenylamino)-1-deoxy-D-ribulose-5-phosphate,[c] : h + 2cpr5p => h2o + co2 + 3ig3p,,A1348,,,0,,,0,2,4.1.1.48,http://www.ncbi.nlm.nih.gov/pubmed/5332729,
rxn02508,N-(5-Phospho-beta-D-ribosyl)anthranilate ketol-isomerase,[c] : pran <=> 2cpr5p,,A2854,,,1,,,0,2,5.3.1.24,http://www.ncbi.nlm.nih.gov/pubmed/3286643,
XTPASE,2'-Deoxyinosine-5'-triphosphate pyrophosphohydrolase,[c] : h2o + ditp => ppi + dimp,IxpP (A0601) ,A0601,IxpP,Nucleotide Metabolism,0,,,0,2,3.6.1.19,http://www.ncbi.nlm.nih.gov/pubmed/4310599,
rxn02569,"ATP:selenide, water phosphotransferase",[c] : h2o + atp + seln <=> pi + amp + 2 h + selnp,,does not have this gene,,,1,,,0,2,2.7.9.3,http://www.ncbi.nlm.nih.gov/pubmed/1557403,
rxn02666,L-2-amino-3-oxobutanoate decarboxylation (spontaneous),[c] : co2 + aact <=> h + 2aobut,,,,,1,,,0,2,,,
MPCHLS,Mg-protoporphyrin IX magnesium-lyase,[c] : h2o + atp + mg2 + ppp9 => adp + pi + 3 h + mppp9,ChlD (A0596)  and ChlH ( A1000 and A1018 )  and ChlI (A2256) ,A0596  and  ( A1000  and  A1018 )  and  A2256,ChlD and ChlH and ChlI,Porphyrin and Chlorophyll Metabolism,0,,,0,2,6.6.1.1,http://www.ncbi.nlm.nih.gov/pubmed/11607197,
rxn02774,S-Adenosyl-L-methionine:uroporphyrin-III C-methyltransferase,[c] : nad + pre2 => nadh + h + scl,,does not have this gene,,,0,,,0,2,1.3.1.76|2.1.1.107,http://www.ncbi.nlm.nih.gov/pubmed/11980703,
rxn02789,2-Isopropylmalate hydro-lyase,[c] : 3c3hmp <=> h2o + 2ippm,,A0456,,,1,,,0,2,4.2.1.33,http://www.ncbi.nlm.nih.gov/pubmed/14087357,
rxn02791,(5-Glutamyl)-peptide:amino-acid 5-glutamyltransferase,[c] : glu-L + L-3-Cyanoalanine => h2o + gamma-Glutamyl-beta-cyanoalanine,,G0134,,,0,,,0,2,2.3.2.2,http://www.ncbi.nlm.nih.gov/pubmed/6030345,
rxn02792,(5-Glutamyl)-peptide:amino-acid 5-glutamyltransferase,[c] : glu-L + h + L-3-Cyanoalanine => h2o + co2 + gamma-Glutamyl-3-aminopropiononitrile,,G0134,,,0,,,0,2,2.3.2.2,http://www.ncbi.nlm.nih.gov/pubmed/6030345,
rxn02811,3-Isopropylmalate hydro-lyase,[c] : 3c2hmp <=> h2o + 2ippm,,A0456,,,1,,,0,2,4.2.1.33,http://www.ncbi.nlm.nih.gov/pubmed/14087357,
rxn02831,O-Succinylbenzoate:CoA ligase (AMP-forming),[c] : atp + coa + h + sucbz => ppi + amp + sbzcoa,,A1250,,,0,,,0,2,6.2.1.26,http://www.ncbi.nlm.nih.gov/pubmed/7045104,
SUCBZS,O-succinylbenzoate-CoA synthase,[c] : 2shchc => h2o + sucbz ,MenC (A2642) ,A2642,MenC,,0,,,0,2,4.2.1.-|4.2.1.113,http://www.ncbi.nlm.nih.gov/pubmed/8335646,
rxn02834,Phosphoribosyl-ATP pyrophosphohydrolase,[c] : h2o + prbatp => ppi + prbamp,,A0488,,,0,,,0,2,3.6.1.31,http://www.ncbi.nlm.nih.gov/pubmed/14342333,
rxn02835,"1-(5-phospho-D-ribosyl)-AMP 1,6-hydrolase",[c] : h2o + prbamp => prfp,,A0488,,,0,,,0,2,3.5.4.19,http://www.ncbi.nlm.nih.gov/pubmed/4309307,
rxn02875,N-Acetylmuramoyl-Ala amidohydrolase,[c] : h2o + acmama <=> ala-L + acmam,,,,,1,,,0,2,3.5.1.28,http://www.ncbi.nlm.nih.gov/pubmed/5777325,
rxn02895,5-Phospho-D-ribosylamine:glycine ligase (ADP-forming),[c] : atp + gly + pram => adp + pi + h + gar,,A1406,,,0,,,0,2,6.3.4.13,http://www.ncbi.nlm.nih.gov/pubmed/13357451,
rxn02897,Nicotinate-nucleotide:dimethylbenzimidazole,[c] : nicrnt + dmbzid <=> h + nac + 5prdmbz,,does not have this gene,,,1,,,0,2,2.4.2.21,http://www.ncbi.nlm.nih.gov/pubmed/14253445,
rxn02898,"O-Succinylbenzoyl-CoA 1,4-dihydroxy-2-naphthoate-lyase",[c] : sbzcoa => coa + dhna,,A0268,,,0,,,0,2,4.1.3.36,http://www.ncbi.nlm.nih.gov/pubmed/500558,
rxn02916,6-Amino-2-oxohexanoate cyclation,[c] : 6a2ohxnt <=> h2o + h + 1pipdn2c,,,,,1,,,0,2,,,
rxn02929,"2,3,4,5-Tetrahydrodipicolinate:NADP+ oxidoreductase",[c] : nadp + thdp <=> nadph + h + 23dhdp,,A0881,,,1,,,0,2,1.3.1.26,http://www.ncbi.nlm.nih.gov/pubmed/4378965,
rxn02937,2-(Formamido)-N1-(5-phosphoribosyl)acetamidine cyclo-ligase,[c] : atp + fpram => adp + pi + h + air,,A0345,,,0,,,0,2,6.3.3.1,http://www.ncbi.nlm.nih.gov/pubmed/13405929,
rxn02938,1-(5-Phospho-D-ribosyl)-5-amino-4-imidazolecarboxylate carboxy-lyase,[c] : h + 5aizc <=> co2 + air,,does not have this gene,,,1,,,0,2,4.1.1.21,http://www.ncbi.nlm.nih.gov/pubmed/13672967,
rxn02959,S-adenosyl-L-methionine:magnesium-protoporphyrin-IX,[c] : amet + mppp9 => ahcys + Mg-Protoporphyrin IX 13-monomethyl ester,,A0908,,,0,,,0,2,2.1.1.11,http://www.ncbi.nlm.nih.gov/pubmed/14063871,
QULNS,quinolinate synthase,[c] : dhap + iasp => 2 h2o + pi + h + quln,NadA (A1968) ,A1968,NadA,Nicotinate and Nicotinamide Metabolism,0,,,0,2,,,
rxn03004,10-Formyltetrahydrofolate:5'-phosphoribosylglycinamide,[c] : 10fthf + gar => h + thf + fgam,,A0007,,,0,,,0,2,2.1.2.2,http://www.ncbi.nlm.nih.gov/pubmed/13672969,
rxn03012,rxn03012,[c] : L-2-Amino-6-oxopimelate <=> h2o + h + thdp,,,,,1,,,0,2,,,
rxn03057,5-Methylthio-5-deoxy-D-ribose-1-phosphate ketol-isomerase,[c] : 5mdr1p => 5mdru1p,,A2308,,,0,,,0,2,5.3.1.23,http://www.ncbi.nlm.nih.gov/pubmed/6725268,
IPMD,3-Isopropylmalate:NAD+ oxidoreductase,[c] : nad + 3c2hmp <=> nadh + h + 3c4mop,A2354(LeuB),A2354,LeuB,Aminosugars Metabolism,1,,,0,2,1.1.1.85,http://www.ncbi.nlm.nih.gov/pubmed/14087358,
rxn03068,"(R)-2,3-Dihydroxy-3-methylbutanoate:NADP+ oxidoreductase",[c] : nadp + 23dhmb <=> nadph + h + 33hmeoxobut,,A1278,,,1,,,0,2,1.1.1.86,http://www.ncbi.nlm.nih.gov/pubmed/4388025,
rxn03080,"6,7-Dimethyl-8-(1-D-ribityl)lumazine:6,7-dimethyl-8-(1-D-ribityl)",[c] : 4r5au + db4p => 2 h2o + pi + h + dmlz,,A0136,,,0,,,0,2,2.5.1.9,http://www.ncbi.nlm.nih.gov/pubmed/13944007,
rxn03084,5'-Phosphoribosylformylglycinamide:L-glutamine amido-ligase,[c] : h2o + atp + gln-L + fgam => adp + pi + glu-L + h + fpram,,A1545,,,0,,,0,2,6.3.5.3,http://www.ncbi.nlm.nih.gov/pubmed/13416226,
rxn03108,ATP:4-amino-2-methyl-5-phosphomethylpyrimidine phosphotransferase,[c] : atp + 4ampm => adp + 2mahmp,,A0025,,,0,,,0,2,2.7.4.7,,
rxn03135,Imidazole-glycerol-3-phosphate synthase,[c] : glu-L + h + eig3p + aicar <=> gln-L + prlp,,,,,1,,,0,2,,,
rxn03136,1-(5'-Phosphoribosyl)-5-amino-4-(N-succinocarboxamide)-imidazole,[c] : 25aics <=> fum + aicar,,A2653,,,1,,,0,2,4.3.2.2,http://www.ncbi.nlm.nih.gov/pubmed/13366975,
rxn03137,10-Formyltetrahydrofolate:5'-phosphoribosyl-5-amino-4-,[c] : 10fthf + aicar => thf + fprica,,A1691,,,0,,,0,2,2.1.2.3,http://www.ncbi.nlm.nih.gov/pubmed/13672969,
UHGADA,UDP-3-O-acetylglucosamine deacetylase,[c] : h2o + u3aga => ac + u3hga,LpxC (A0319) ,A0319,LpxC,Cell Envelope Biosynthesis,0,,,0,2,3.5.1.-,,
rxn03147,1-(5-Phosphoribosyl)-5-amino-4-carboxyimidazole:L-aspartate ligase,[c] : atp + asp-L + 5aizc <=> adp + pi + 2 h + 25aics,,A0317,,,1,,,0,2,6.3.2.6,http://www.ncbi.nlm.nih.gov/pubmed/13672967,
rxn03159,"UDP-2,3-bis(3-hydroxytetradecanoyl)-beta-D-glucosamine:2,3-bis-(3-",[c] : u23ga + lipidX => udp + lipidA,,A0068,,,0,,,0,2,2.4.1.182,http://www.ncbi.nlm.nih.gov/pubmed/2824445,
rxn03164,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-",[c] : atp + alaala + ugmd => adp + pi + h + ugmda,,A2693,,,0,,,0,2,6.3.2.10|6.3.2.15,http://www.ncbi.nlm.nih.gov/pubmed/11699883,
rxn03167,"2-Amino-4-hydroxy-6-(erythro-1,2,3-trihydroxypropyl)",[c] : 3 h2o + ahdt => 3 pi + 3 h + dhnpt,,does not have this gene,,,0,,,0,2,3.1.3.1,http://www.ncbi.nlm.nih.gov/pubmed/13890304,
rxn03174,"2-Amino-4-hydroxy-6-(erythro-1,2,3-trihydroxypropyl)",[c] : h2o + ahdt <=> 2_5-Diamino-6-(5'-triphosphoryl-3'_4'-trihydroxy-2'-oxopentyl)- amino-4-oxopyrimidine,,A2444,,,1,,,0,2,3.5.4.16,http://www.ncbi.nlm.nih.gov/pubmed/4296838,
rxn03175,N-(5'-Phospho-D-ribosylformimino)-5-amino-1-,[c] : prfp => prlp,,A1890,,,0,,,0,2,5.3.1.16|swiss|Q02131|HIS4_LACLA,http://www.ncbi.nlm.nih.gov/pubmed/5330429,
rxn03194,(S)-2-Aceto-2-hydroxybutanoate pyruvate-lyase (carboxylating),[c] : 2obut + 2-Hydroxyethyl-ThPP => thmpp + 2ahbut,,A2704,,,0,,,0,2,2.2.1.6,http://www.ncbi.nlm.nih.gov/pubmed/14243762,
rxn03236,4a-hydroxytetrahydrobiopterin hydro-lyase,[c] : 4hthb => h2o + dhbpt,,,,,0,,,0,2,4.2.1.96,,
rxn03384,Uroporphyrinogen I carboxy-lyase,[c] : 4 h + uppg1 => 4 co2 + cpppg1,,A0823,,,0,,,0,2,4.1.1.37,http://www.ncbi.nlm.nih.gov/pubmed/13549492,
rxn03393,Octaprenyl-hydroxybenzoate decarboxylase,[c] : h + 3ophb => co2 + 2oph,,A1113,,,0,,,0,2,4.1.1.-,,
rxn03394,rxn03394,[c] : nadph + o2 + h + 2oph <=> h2o + nadp + 2ohph,,,,,1,,,0,2,,,
rxn03395,2-octaprenyl-6-hydroxyphenol methylase,[c] : amet + 2ohph => ahcys + h + 2omph,,does not have this gene,,,0,,,0,2,2.1.1.64,http://www.ncbi.nlm.nih.gov/pubmed/863914,
rxn03397,UDP-L-rhamnose:flavonol-3-O-D-glucoside L-rhamnosyltransferase,[c] : amet + 2ombz <=> ahcys + h + 2ommb,,,,,1,,,0,2,2.1.1.-,,
rxn03406,Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-,[c] : atp + nh4 + uaaAgla => adp + pi + h + uaaAgtla,,A0246,,,0,,,0,2,6.3.1.2,http://www.ncbi.nlm.nih.gov/pubmed/13061404,
rxn03407,Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-,[c] : atp + nh4 + uaaGgla => adp + pi + h + uaaGgtla,,A0246,,,0,,,0,2,6.3.1.2,http://www.ncbi.nlm.nih.gov/pubmed/13061404,
UAGPT3,UDP-N-acetylglucosamine-N-acetylmuramyl-(pentapeptide)pyrophosphoryl-undecaprenol N-acetylglucosamine transferase,[c] : uacgam + uagmda => udp + uaagmda,MurG (A2584) ,A2584,MurG,Lipid & Cell Wall Metabolism,0,,,0,2,2.4.1.227,http://www.ncbi.nlm.nih.gov/pubmed/11699883,
rxn03409,Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-,[c] : atp + nh4 + uaagmda => adp + pi + h + uaagtmda,,A0246,,,0,,,0,2,6.3.1.2,http://www.ncbi.nlm.nih.gov/pubmed/13061404,
rxn03419,"Formamidopyrimidine nucleoside triphosphate 7,8-8,9-dihydrolase",[c] : h2o + Formamidopyrimidine nucleoside triphosphate => for + h + 2_5-Diaminopyrimidine nucleoside triphosphate,,A2444,,,0,,,0,2,3.5.4.16,http://www.ncbi.nlm.nih.gov/pubmed/4296838,
rxn03421,"GTP 7,8-8,9-dihydrolase",[c] : 2_5-Diaminopyrimidine nucleoside triphosphate => 2_5-Diamino-6-(5'-triphosphoryl-3'_4'-trihydroxy-2'-oxopentyl)- amino-4-oxopyrimidine,,A2444,,,0,,,0,2,3.5.4.16|6.-.-.-,http://www.ncbi.nlm.nih.gov/pubmed/4296838,
rxn03435,"(R)-2,3-Dihydroxy-3-methylpentanoate:NADP+ oxidoreductase",[c] : nadp + 23dhmp <=> nadph + h + (R)-3-Hydroxy-3-methyl-2-oxopentanoate,,A1278,,,1,,,0,2,1.1.1.86,http://www.ncbi.nlm.nih.gov/pubmed/4388025,
rxn03436,(S)-2-Aceto-2-hydroxybutanoate:NADP+ oxidoreductase (isomerizing),[c] : 2ahbut <=> (R)-3-Hydroxy-3-methyl-2-oxopentanoate,,A1278,,,1,,,0,2,1.1.1.86|5.4.99.3,http://www.ncbi.nlm.nih.gov/pubmed/4388025,
rxn03437,"(R)-2,3-Dihydroxy-3-methylpentanoate hydro-lyase",[c] : 23dhmp => h2o + 3mop,,A0652,,,0,,,0,2,4.2.1.9,http://www.ncbi.nlm.nih.gov/pubmed/13962154,
rxn03446,O-Phospho-4-hydroxy-L-threonine phospho-lyase (adding water),[c] : h2o + phthr => pi + h + 4hthr,,A0286,,,0,,,0,2,4.2.3.1,http://www.ncbi.nlm.nih.gov/pubmed/13823379,
rxn03491,"S-Adenosyl-L-methionine:1-precorrin-6Y C5,15-methyltransferase",[c] : 2 amet + pre6b => co2 + 2 ahcys + 2 h + pre8,,A0898,,,0,,,0,2,2.1.1.132,http://www.ncbi.nlm.nih.gov/pubmed/1732195,
rxn03512,"Precorrin 8X 11,12-methylmutase",[c] : h + pre8 => hgbyr,,A0528,,,0,,,0,2,5.4.1.2,http://www.ncbi.nlm.nih.gov/pubmed/1732194,
ACBIPGT,Adenosyl cobinamide kinase,[c] : atp + adocbi => adp + h + adocbip,CobU (A1561) ,A1561,CobU,Vitamins & Cofactor Biosynthesis,0,,,0,2,2.7.1.156,http://www.ncbi.nlm.nih.gov/pubmed/7559521,
rxn03537,Adenosyl cobinamide phosphate guanyltransferase,[c] : gtp + h + adocbip => ppi + agdpcbi,,A1561,,,0,,,0,2,2.7.7.62,http://www.ncbi.nlm.nih.gov/pubmed/7559521,
COBPS,Adenosylcobalamin 5'-phosphate synthase,[c] : rdmbzi + agdpcbi => gmp + adocbl,CobS (A2782) ,A2782,CobS,Vitamins & Cofactor Biosynthesis,0,,,0,2,2.7.8.26,,
ADCOBHEXS,adenosylcobyric acid synthase (glutamine-hydrolysing),[c] : 4 h2o + 4 atp + 4 gln-L + adcobdam => 4 adp + 4 pi + 4 glu-L + 4 h + adcobhex,CobQ-CobD (A1650) ,A1650,CobQ-CobD,Vitamins & Cofactor Biosynthesis,0,,,0,2,6.3.5.10,,
rxn03638,Acetyl-CoA:D-glucosamine-1-phosphate N-acetyltransferase,[c] : accoa + gam1p => coa + h + acgam1p,,A2633,,,0,,,0,2,2.3.1.157|2.3.1.4,,
ADCL,4-amino-4-deoxychorismate pyruvate-lyase,[c] : 4adcho => pyr + h + 4abz,PabAc (A0380) ,A0380,PabAc,Folate Biosynthesis,0,,,0,2,4.1.3.38,,
rxn03843,Farnesyl diphosphate:Isopentenyl diphosphate farnesyl transferase,[c] : ipdp + frdp => ppi + tcggrpp,,A1400,,,0,,,0,2,2.5.1.-,,
rxn03884,2-dehydro-3-deoxy-D-gluconate-6-phosphate,[c] : 2ddg6p => pyr + g3p,,,,,0,,,0,2,4.1.2.14,,
rxn03891,trans-hexaprenyltranstransferase,[c] : ipdp + hexdp => ppi + hepdp,,,,,0,,,0,2,2.5.1.30,,
rxn03892,PPTT,[c] : ipdp + pendp => ppi + hexdp,,,,,0,,,0,2,2.5.1.33,,
rxn03893,Hydroxybenzoate octaprenyltransferase,[c] : 4hbz + octdp => ppi + 3ophb,,A1400,,,0,,,0,2,2.5.1.-,,
rxn03901,Undecaprenyl-diphosphate phosphohydrolase,[c] : h2o + udcpdp => pi + h + udcpp,,,,,0,,,0,2,3.6.1.27,,
rxn03903,UDPMurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala):undecaprenyl-,[c] : udcpp + uGgla => ump + uaGgla,,A1607,,,0,,,0,2,2.7.8.13,,
rxn03904,UDPMurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala):undecaprenyl-,[c] : udcpp + ugmda => ump + uagmda,,A1607,,,0,,,0,2,2.7.8.13,,
MEPCT,CTP: 2-C-Methyl-D-erythritol 4-phosphate cytidylyltransferase,[c] : ctp + 2me4p => ppi + 4c2me,IspD (A1905) ,A1905,IspD,Terpenoid Backbone Biosynthesis,0,,,0,2,2.7.7.60,,
CDPMEK,ATP: 4-(Cytidine 5'-diphospho)-2-C-methyl-D-erythritol,[c] : atp + 4c2me => adp + 2p4c2me,IspE (A2416) ,A2416,IspE,Terpenoid Backbone Biosynthesis,0,,,0,2,2.7.1.148,,
DXPS,1-Deoxy-D-xylulose-5-phosphate pyruvate-lyase (carboxylating),[c] : pyr + h + g3p => co2 + dxyl5p,Dxs2 (A1172) ,A1172,Dxs2,Terpenoid Backbone Biosynthesis,0,,,0,2,2.2.1.7,,
MECDPS,2-Phospho-4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol,[c] : 2p4c2me => cmp + 2mecdp,IspF (A1166) ,A1166,IspF,Terpenoid Backbone Biosynthesis,0,,,0,2,4.6.1.12,,
rxn03916,D-glycero-D-manno-hepose 1-phosphate adenyltransferase,[c] : atp + gmhep1p => ppi + adphep-D_D,,,,,1,,,0,2,2.7.7.70,,
rxn03918,D-glycero-D-manno-heptose 7-phosphate kinase,[c] : atp + gmhep7p => adp + gmhep17bp,,,,,0,,,0,2,2.7.1.168,,
rxn03919,"D-glycero-D-manno-heptose 1,7-bisphosphate phosphatase",[c] : h2o + gmhep17bp => pi + h + gmhep1p,,A1903,,,0,,,0,2,3.1.3.83,,
rxn03933,UDP-N-acetylglucosamine-N-acetylmuramyl-(pentapeptide)pyrophosphoryl-undecaprenol N-acetylglucosamine transferase,[c] : uacgam + uaGgla => udp + uaaGgla,,A2584,,,0,,,0,2,2.4.1.227,,
rxn03951,NAD-dependent threonine 4-phosphate dehydrogenase,[c] : nad + phthr => nadh + h + amopbut-L,,,,,0,,,0,2,1.1.1.262,,
DXPRI,1-Deoxy-D-xylulose-5-phosphate isomeroreductase,[c] : nadph + h + dxyl5p => nadp + 2me4p ,Dxr (A0818) ,A0818,Dxr,Terpenoid Backbone Biosynthesis,0,,,0,2,1.1.1.267,,
rxn04045,sirohydrochlorin cobalt-lyase,[c] : 2 h + cobalt2 + scl => copre2,,,,,0,,,0,2,4.99.1.3,,
rxn04052,precorrin-8X methylmutase,[c] : copre8 => cobya,,A0528,,,0,,,0,2,5.4.1.2,,
PYDX5PS,pyridoxine 5'-phosphate synthase,[c] : dxyl5p + 1-AMINO-PROPAN-2-ONE-3-PHOSPHATE => 2 h2o + pi + 2 h + pdx5p,PdxAJ (A0094) ,A0094,PdxAJ,Vitamins & Cofactor Biosynthesis,0,,,0,2,2.6.99.2,,
DMPPS,isopentenyl-diphosphate:NAD(P)+ oxidoreductase,[c] : nadph + h + h2mb4p => h2o + nadp + ipdp,LytB (A0517) ,A0517,LytB,Terpenoid Backbone Biosynthesis,0,,,0,2,1.17.1.2,,
rxn04132,rxn04132,[c] : h2o + 5-Hydroxyisourate <=> co2 + (R)-Allantoin,,,,,1,,,0,2,,,
rxn04133,rxn04133,[c] : h2o + 5-Hydroxyisourate <=> co2 + alltn,,,,,1,,,0,2,,,
rxn04139,"2-Octaprenyl-3-methyl-6-methoxy-1,4-benzoquinone ,NADPH2:oxygen",[c] : nadph + o2 + 2ommb => h2o + nadp + OCTAPRENYL-METHYL-OH-METHOXY-BENZQ,,A1949,,,0,,,0,1,1.14.13.-,,
MPMEODR,"magnesium-protoporphyrin-IX 13-monomethyl ester,NADPH:oxygen oxidoreductase",[c] : nadph + o2 + h + Mg-Protoporphyrin IX 13-monomethyl ester => h2o + nadp + 13(1)-Hydroxy-Mg-protoporphyrin IX 13-monomethyl ester,AcsF (A0707)  ) or ( AcsF2 (A1992),A0707  or  A1992,( AcsF ) or ( AcsF2 ),,0,,,0,2,1.14.13.81,,
MPMEODR1,"magnesium-protoporphyrin-IX 13-monomethyl ester,NADPH:oxygen",[c] : nadph + o2 + h + 13(1)-Hydroxy-Mg-protoporphyrin IX 13-monomethyl ester => 2 h2o + nadp + 13(1)-Oxo-Mg-protoporphyrin IX 13-monomethyl ester,,A0707|A1992,,,0,,,0,2,1.14.13.81,,
MPMEODR2,"magnesium-protoporphyrin-IX 13-monomethyl ester,NADPH:oxygen",[c] : nadph + o2 + 13(1)-Oxo-Mg-protoporphyrin IX 13-monomethyl ester => 2 h2o + nadp + Divinylprotochlorophyllide,,A0707|A1992,,,0,,,0,2,1.14.13.81,,
ChPS,chlorophyllide-a:phytyl-diphosphate phytyltransferase,[c] : Chlorophyllide + Phytyl diphosphate => ppi + Chlorophyll a,ChlG (A0548) ,A0548,ChlG,Porphyrin and Chlorophyll Metabolism,0,,,0,2,2.5.1.62,,
rxn04162,"chlorophyllide-a:NADP+ 7,8-oxidoreductase",[c] : nadph + 2 h + Divinylprotochlorophyllide => nadp + Divinyl chlorophyllide a ,,,,,0,,,0,2,1.3.1.33,,
rxn04308,"di-trans,poly-cis-Decaprenyl-diphosphate:isopentenyl-diphosphate",[c] : 7 ipdp + tcggrpp => 7 ppi + udcpdp,,,,,0,,,0,2,2.5.1.31,,
rxn04413,rxn04413,[c] : gtp + adocbi => gdp + h + adocbip,,,,,0,,,0,2,2.7.1.156,,
rxn04456,rxn04456,[c] : h + 5-Hydroxy-2-oxo-4-ureido-2_5-dihydro-1H-imidazole-5-carboxylate <=> co2 + alltn,,,,,1,,,0,2,,,
rxn04457,rxn04457,[c] : h + 5-Hydroxy-2-oxo-4-ureido-2_5-dihydro-1H-imidazole-5-carboxylate <=> co2 + (R)-Allantoin,,,,,1,,,0,2,,,
DHNAPhT,rxn04673,[c] : dhna + Phytyl diphosphate => co2 + ppi + h + Demethylphylloquinone,MenA (A1984) ,A1984,MenA,Quinone Biosynthesis,0,,,0,2,2.5.1.-,,
DMPhQM,demethylphylloquinone methyltransferase,[c] : amet + Demethylphylloquinone => ahcys + h + Vitamin K1,MenG (A1100) ,A1100,MenG,Quinone Biosynthesis,0,,,0,2,2.1.1.163,,
CPPPGOAN,coproporphyrinogen-III:S-adenosyl-L-methionine,[c] : 2 amet + cpppg3 => 2 co2 + 2 met-L + pppg9 + 2 dad-5,( HemN (A1990)  ) or ( HemN2 (A2831)  ),( A1990  or  A2831 ),( HemN ) or ( HemN2 ),Cofactor and Prosthetic Group Biosynthesis,0,,,0,2,1.3.99.22,,
rxn04783,glycinamide ribonucleotide transformylase,[c] : atp + for + gar <=> adp + pi + h + fgam,,,,,1,,,0,2,2.1.2.-|Undetermined,,
rxn04954,5-methyltetrahydrofolate:NAD+ oxidoreductase,[c] : nadh + h + mlthf => nad + 5mthf ,,,,,0,,,0,2,1.5.1.20,,
DMPPS,dimethyallyl diphosphate:NADP+ oxidoreductase,[c] : nadph + h + h2mb4p => h2o + nadp + dmpp,LytB (A0517) ,A0517,LytB,Terpenoid Backbone Biosynthesis,0,,,0,2,1.17.1.2,,
rxn05024,rxn05024,[c] : h + sbzcoa <=> h2o + 1_4-Dihydroxy-2-naphthoyl-CoA,,A0268,,,1,,,0,2,4.1.3.36,,
rxn05031,prephytoene diphosphate:geranylgeranyl-diphosphate,[c] : Prephytoene diphosphate => ppi + Phytoene,CrtB (A1936) ,A1936,CrtB,Carotenoid Biosynthesis,0,,,0,2,2.5.1.32,,
